Gene Signature,Platform,Genes,Source
Cell cycle,Gene expression profiling,"ABL1, ANAPC1, ANAPC10, ANAPC11, ANAPC13, ANAPC2, ANAPC4, ANAPC5, ANAPC7, ATM, ATR, BUB1, BUB1B, BUB3, CCNA1, CCNA2, CCNB1, CCNB2, CCNB3, CCND1, CCND2, CCND3, CCNE1, CCNE2, CCNH, CDC14A, CDC14B, CDC16, CDC20, CDC23, CDC25A, CDC25B, CDC25C, CDC26, CDC27, CDC45, CDC6, CDC7, CDK1, CDK2, CDK4, CDK6, CDK7, CDKN1A, CDKN1B, CDKN1C, CDKN2A, CDKN2B, CDKN2C, CDKN2D, CHEK1, CHEK2, CREBBP, CUL1, DBF4, E2F1, E2F2, E2F3, E2F4, E2F5, EP300, ESPL1, FZR1, GADD45A, GADD45B, GADD45G, GSK3B, HDAC1, HDAC2, MAD1L1, MAD2L1, MAD2L2, MCM2, MCM3, MCM4, MCM5, MCM6, MCM7, MDM2, MYC, ORC1, ORC2, ORC3, ORC4, ORC5, ORC6, PCNA, PKMYT1, PLK1, PRKDC, PTTG1, PTTG2, RAD21, RB1, RBL1, RBL2, RBX1, SFN, SKP1, SKP2, SMAD2, SMAD3, SMAD4, SMC1A, SMC1B, SMC3, STAG1, STAG2, TFDP1, TFDP2, TGFB1, TGFB2, TGFB3, TP53, TTK, WEE1, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ, ZBTB17",KEGG hsa4110
DNA replication,Gene expression profiling,"DNA2, FEN1, LIG1, MCM2, MCM3, MCM4, MCM5, MCM6, MCM7, PCNA, POLA1, POLA2, POLD1, POLD2, POLD3, POLD4, POLE, POLE2, POLE3, POLE4, PRIM1, PRIM2, RFC1, RFC2, RFC3, RFC4, RFC5, RNASEH1, RNASEH2A, RNASEH2B, RNASEH2C, RPA1, RPA2, RPA3, RPA4, SSBP1",KEGG hsa3030
Nucleotide excision repair,Gene expression profiling,"CCNH, CDK7, CETN2, CUL4A, CUL4B, DDB1, DDB2, ERCC1, ERCC2, ERCC3, ERCC4, ERCC5, ERCC6, ERCC8, GTF2H1, GTF2H2, GTF2H3, GTF2H4, GTF2H5, LIG1, MNAT1, PCNA, POLD1, POLD2, POLD3, POLD4, POLE, POLE2, POLE3, POLE4, RAD23A, RAD23B, RBX1, RFC1, RFC2, RFC3, RFC4, RFC5, RPA1, RPA2, RPA3, RPA4, XPA, XPC",KEGG hsa3420
Homologous recombination,Gene expression profiling,"BLM, BRCA2, EME1, MRE11A, MUS81, NBN, POLD1, POLD2, POLD3, POLD4, RAD50, RAD51, RAD51B, RAD51C, RAD51D, RAD52, RAD54B, RAD54L, RPA1, RPA2, RPA3, RPA4, SHFM1, SSBP1, TOP3A, TOP3B, XRCC2, XRCC3",KEGG hsa3440
Mismatch repair,Gene expression profiling,"EXO1, LIG1, MLH1, MLH3, MSH2, MSH3, MSH6, PCNA, PMS2, POLD1, POLD2, POLD3, POLD4, RFC1, RFC2, RFC3, RFC4, RFC5, RPA1, RPA2, RPA3, RPA4, SSBP1",KEGG hsa3430
EMT2,Gene expression profiling,"AXL, FAP, LOXL2, ROR2, TAGLN, TWIST2, WNT5A",PMID: 26997480
EMT3,Gene expression profiling,"FOXF1, GATA6, SOX9, TWIST1, ZEB1, ZEB2",PMID: 27321955
WNT target,Gene expression profiling,"EFNB3, MYC, TCF12, VEGFA",PMID: 25970248
Cell cycle regulators,Gene expression and mutational profiling,"ATM, CCND1, CCNE1, CDKN1A, CDKN2A, E2F3, FBXW7, MDM2, RB1, TP53",PMID: 24476821
DNA damage repair,Mutational profiling,"ATM, ATR, BLM, BRCA1, BRCA2, BRIP1, CHEK1, CHEK2, ERCC4, FANCA, FANCC, FANCD2, FANCE, FANCF, FANCG, FANCL, FANCM, MLH1, MSH2, MSH6, MUTYH, NUDT1, PALB2, PARP1, PARP2, PARP3, PMS2, POLD1, POLE, PRKDC, RAD51C, RPA1, TP53",Wood lab
